日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,1.291,17.8597,4.918,--,5.73,开放申购|开放赎回
2020/7/24,1.221,16.8914,4.848,--,-0.65,开放申购|开放赎回
2020/7/17,1.229,17.002,4.856,--,-0.24,开放申购|开放赎回
2020/7/10,1.232,17.0435,4.859,--,5.48,开放申购|开放赎回
2020/7/3,1.168,16.1582,4.795,--,5.42,开放申购|开放赎回
2020/6/24,1.108,15.3281,4.735,--,0.76,开放申购|开放赎回
2020/6/19,1.368,15.2123,4.728,--,2.93,暂停大额申购|开放赎回
2020/6/12,1.329,14.7786,4.689,--,0.68,暂停大额申购|开放赎回
2020/6/5,1.32,14.6785,4.68,--,0.69,暂停大额申购|开放赎回
2020/5/29,1.311,14.5784,4.671,--,2.9,暂停大额申购|开放赎回
2020/5/22,1.274,14.167,4.634,--,-0.78,开放申购|开放赎回
2020/5/15,1.284,14.2782,4.644,--,0.31,开放申购|开放赎回
2020/5/8,1.28,14.2337,4.64,--,2.65,开放申购|开放赎回
2020/4/30,1.247,13.8667,4.607,--,0.16,开放申购|开放赎回
2020/4/24,1.245,13.8445,4.605,--,1.97,开放申购|开放赎回
2020/4/17,1.221,13.5776,4.581,--,1.5,开放申购|开放赎回
2020/4/10,1.203,13.3775,4.563,--,1.52,开放申购|开放赎回
2020/4/3,1.185,13.1773,4.545,--,2.78,开放申购|开放赎回
2020/3/27,1.153,12.8215,4.513,--,2.85,开放申购|开放赎回
2020/3/20,1.121,12.4656,4.481,--,-3.28,开放申购|开放赎回
2020/3/13,1.159,12.8882,4.519,--,-3.9,开放申购|开放赎回
2020/3/6,1.206,13.4108,4.566,--,4.78,开放申购|开放赎回
2020/2/28,1.151,12.7992,4.511,--,-0.52,开放申购|开放赎回
2020/2/21,1.157,12.8659,4.517,--,3.21,开放申购|开放赎回
2020/2/14,1.121,12.4656,4.481,--,3.22,开放申购|开放赎回
2020/2/7,1.086,12.0764,4.446,--,0,开放申购|开放赎回
2020/1/23,1.086,12.0764,4.446,--,-3.47,开放申购|开放赎回
2020/1/17,1.125,12.5101,4.485,--,-0.62,开放申购|开放赎回
2020/1/10,1.132,12.5879,4.492,--,2.17,开放申购|开放赎回
2020/1/3,1.108,12.3211,4.468,--,1.37,开放申购|开放赎回
2019/12/27,1.093,12.1543,4.453,--,0.37,开放申购|开放赎回
2019/12/20,1.089,12.1098,4.449,--,-0.46,开放申购|开放赎回
2019/12/13,1.094,12.1654,4.454,--,-0.09,开放申购|开放赎回
2019/12/6,1.095,12.1765,4.455,--,2.34,开放申购|开放赎回
2019/11/29,1.07,11.8985,4.43,--,-1.83,开放申购|开放赎回
2019/11/22,1.09,12.1209,4.45,--,-1.27,开放申购|开放赎回
2019/11/15,1.104,12.2766,4.464,--,-0.81,开放申购|开放赎回
2019/11/8,1.113,12.3767,4.473,--,0.72,开放申购|开放赎回
2019/11/1,1.105,12.2877,4.465,--,1.01,开放申购|开放赎回
2019/10/25,1.094,12.1654,4.454,--,1.67,开放申购|开放赎回
2019/10/18,1.076,11.9652,4.436,--,0.28,开放申购|开放赎回
2019/10/11,1.073,11.9319,4.433,--,3.17,开放申购|开放赎回
2019/9/30,1.04,11.5649,4.4,--,-0.38,开放申购|开放赎回
2019/9/27,1.044,11.6094,4.404,--,-0.85,开放申购|开放赎回
2019/9/20,1.053,11.7094,4.413,--,0.57,开放申购|开放赎回
2019/9/12,1.422,11.6432,4.411,--,-0.63,暂停大额申购|开放赎回
2019/9/6,1.431,11.7169,4.42,--,0.99,暂停大额申购|开放赎回
2019/8/30,1.417,11.6023,4.406,--,0.64,暂停大额申购|开放赎回
2019/8/23,1.408,11.5286,4.397,--,1.88,暂停大额申购|开放赎回
2019/8/16,1.382,11.3157,4.371,--,1.92,暂停大额申购|开放赎回
2019/8/9,1.356,11.1028,4.345,--,-1.45,开放申购|开放赎回
2019/8/2,1.376,11.2666,4.365,--,-0.94,开放申购|开放赎回
2019/7/26,1.389,11.373,4.378,--,1.83,开放申购|开放赎回
2019/7/19,1.364,11.1683,4.353,--,0.15,开放申购|开放赎回
2019/7/12,1.362,11.152,4.351,--,-0.29,开放申购|开放赎回
2019/7/5,1.366,11.1847,4.355,--,1.41,开放申购|开放赎回
2019/6/28,1.347,11.0291,4.336,--,1.2,开放申购|开放赎回
2019/6/21,1.331,10.8981,4.32,--,3.42,开放申购|开放赎回
2019/6/14,1.287,10.5379,4.276,--,2.96,开放申购|开放赎回
2019/6/6,1.25,10.2349,4.239,--,-3.99,开放申购|开放赎回
2019/5/31,1.302,10.6607,4.291,--,4.41,开放申购|开放赎回
2019/5/24,1.247,10.2103,4.236,--,-2.96,开放申购|开放赎回
2019/5/17,1.285,10.5215,4.274,--,-0.93,开放申购|开放赎回
2019/5/10,1.297,10.6197,4.286,--,-3.35,开放申购|开放赎回
2019/4/30,1.342,10.9882,4.331,--,1.05,开放申购|开放赎回
2019/4/26,1.328,10.8736,4.317,--,-0.82,开放申购|开放赎回
2019/4/19,1.339,10.9636,4.328,--,2.76,开放申购|开放赎回
2019/4/12,1.303,10.6689,4.292,--,-1.96,开放申购|开放赎回
2019/4/4,1.329,10.8818,4.318,--,5.14,开放申购|开放赎回
2019/3/29,1.264,10.3495,4.253,--,2.93,开放申购|开放赎回
2019/3/22,1.228,10.0548,4.217,--,1.91,开放申购|开放赎回
2019/3/15,1.205,9.8664,4.194,--,0.58,开放申购|开放赎回
2019/3/8,1.198,9.8091,4.187,--,0.84,开放申购|开放赎回
2019/3/1,1.188,9.7273,4.177,--,3.94,开放申购|开放赎回
2019/2/22,1.143,9.3588,4.132,--,5.93,开放申购|开放赎回
2019/2/15,1.079,8.8348,4.068,--,3.55,开放申购|开放赎回
2019/2/1,1.042,8.5318,4.031,--,1.56,开放申购|开放赎回
2019/1/25,1.026,8.4008,4.015,--,0.29,开放申购|开放赎回
2019/1/18,1.023,8.3762,4.012,--,1.39,开放申购|开放赎回
2019/1/11,1.009,8.2616,3.998,--,2.33,开放申购|开放赎回
2019/1/4,0.986,8.0733,3.975,--,0.92,开放申购|开放赎回
2018/12/28,0.977,7.9996,3.966,--,0,开放申购|开放赎回
2018/12/21,0.977,7.9996,3.966,--,-2.88,开放申购|开放赎回
2018/12/14,1.006,8.2371,3.995,--,-0.2,开放申购|开放赎回
2018/12/7,1.008,8.2534,3.997,--,0,开放申购|开放赎回
2018/11/30,1.008,8.2534,3.997,--,1,开放申购|开放赎回
2018/11/23,0.998,8.1715,3.987,--,-3.39,开放申购|开放赎回
2018/11/16,1.033,8.4581,4.022,--,3.4,开放申购|开放赎回
2018/11/9,0.999,8.1797,3.988,--,-1.87,开放申购|开放赎回
2018/11/2,1.018,8.3353,4.007,--,3.67,开放申购|开放赎回
2018/10/26,0.982,8.0405,3.971,--,1.24,开放申购|开放赎回
2018/10/19,0.97,7.9423,3.959,--,-1.82,开放申购|开放赎回
2018/10/12,0.988,8.0897,3.977,--,-6.08,开放申购|开放赎回
2018/9/30,1.052,8.6137,4.041,--,0,开放申购|开放赎回
2018/9/28,1.052,8.6137,4.041,--,-0.75,开放申购|开放赎回
2018/9/21,1.06,8.6792,4.049,--,3.52,开放申购|开放赎回
